,rated,variant,speed,perf,createdAt,status,winner,moves,clocks,clock,ECO,opening_name,white_player,rating,black_player,rating
0,True,standard,blitz,blitz,2023-05-17 23:46:19.902000+00:00,resign,white,e4 e5 Nf3 d6 Bc4 h6 O-O Nf6 Re1 Nc6 c3 Na5 Bb5+ c6 Ba4 b5 Bc2 Bg4 h3 Be6 d4 exd4 cxd4 Nc4 e5 dxe5 Nxe5 Nxe5 dxe5 Qxd1 Bxd1 Nd5 Bb3 Bb4 Bd2 Bxd2 Nxd2 a5 a4 O-O Ne4 f5 Nd6 f4 Rad1 f3 axb5 cxb5 Bxd5 Bxd5 Rxd5 fxg2 Rxb5 a4 e6 Rfd8 Nf7 Re8 Nd6 Re7 Nf5 Ree8 e7 Kf7 Rbe5 Ra6 Ne3 a3 bxa3 Rxa3 Nd5 Rxh3 Rf5+ Kg6 Rf8 Rh1+ Kxg2 Rxe1 Rxe8 Kf7 Rf8+ Ke6 e8=Q+ Kxd5 Qxe1,"[30003, 30003, 29947, 29803, 28979, 29651, 28387, 29571, 27971, 29443, 27635, 29251, 27531, 28955, 27531, 28643, 27283, 28091, 26907, 27539, 26643, 27315, 26475, 27187, 25547, 27059, 24675, 26851, 24523, 26619, 24291, 26379, 23555, 25891, 22227, 25763, 22099, 25763, 21867, 25251, 20915, 23907, 20627, 22931, 20435, 21995, 19331, 21699, 19099, 21595, 19099, 20731, 18635, 19947, 18339, 19515, 17723, 19163, 16787, 18827, 16411, 18411, 16163, 17651, 15955, 16907, 14979, 16611, 14411, 16483, 14243, 15619, 13971, 15163, 13523, 14915, 13203, 14763, 13099, 14459, 12851, 14075, 12475, 13939, 12476, 13711]","{'initial': 300, 'increment': 0, 'totalTime': 300}",C41,Philidor Defense,'chestroyer',1440,'kimura4',1393
1,True,standard,blitz,blitz,2023-05-17 23:43:32.743000+00:00,mate,black,e4 c5 Nf3 e6 d4 cxd4 Nxd4 Nc6 Nxc6 bxc6 Bc4 d5 exd5 cxd5 Bb3 Nf6 O-O Be7 Nc3 O-O a3 Ba6 Re1 Qc7 Bd2 d4 Ne4 Nxe4 Rxe4 Bb7 Rxd4 Bc5 Rg4 Rfd8 g3 Qc6 Kf1 Qg2+ Ke2 Qf3+ Ke1 Qxf2#,"[30003, 30003, 29883, 29723, 29883, 29547, 29883, 29475, 29731, 29475, 29563, 29251, 29451, 29115, 29067, 28451, 28931, 28155, 28779, 28011, 28515, 27603, 28195, 26963, 27851, 26419, 27539, 25979, 27539, 25763, 27219, 25667, 26411, 25227, 24611, 24843, 22803, 24555, 22651, 24243, 22397, 23482]","{'initial': 300, 'increment': 0, 'totalTime': 300}",B44,Sicilian Defense: Taimanov Variation,'kimura4',1398,'chestroyer',1435
2,True,standard,blitz,blitz,2023-05-17 23:33:19.245000+00:00,resign,black,e4 e5 Nf3 d6 d4 Nd7 Bc4 h6 O-O Ngf6 Re1 Qe7 Nc3 c6 d5 cxd5 Nxd5 Nxd5 Bxd5 Nb6 Bb3 Be6 Bxe6 Qxe6 c3 Be7 a4 Nc4 b3 Nb6 Bb2 O-O Nd2 Bg5 Nf3 Bf6 h3 a5 Nh2 Nd7 Bc1 Nc5 f4 Nxb3 f5 Qc4 Ra3 Nxc1 Qxc1 b5 axb5 Qxb5 Rd1 Qc5+ Kh1 Bg5 Qa1 Rfd8 Rd5 Qe3 Ra4 Qc1+ Qxc1 Bxc1 Ra1 Bb2 Rad1 Bxc3 Rxd6 Rxd6 Rxd6 a4 Rd3 Bb2 Rd1 a3 Nf3 a2 Nd2 a1=Q Rxa1 Rxa1+ Kh2 Bc3 Nc4 Ra4 Nd6 g5 g4 Rxe4 Kg3 Re3+ Kf2 Rxh3 Ne4 Kg7 Nf6 Rf3+ Kxf3 Kxf6 Ke4 Ke7 Kd5 f6 Ke4 Kf7 Kd3 Ba1 Ke4 Ke7 Kd5 Kd7 Kc5 e4 Kd5 e3 Ke4,"[30003, 30003, 29923, 29851, 29771, 29571, 29547, 29403, 29251, 29227, 28491, 28843, 26811, 28131, 25179, 27307, 23907, 27155, 23907, 26883, 22939, 26739, 22187, 26739, 20723, 25571, 19555, 25315, 18739, 24715, 15651, 24195, 14219, 23667, 13051, 23075, 12547, 22939, 12339, 22427, 11931, 21707, 11459, 21155, 10315, 20643, 8851, 20347, 8579, 19147, 7507, 18787, 7267, 18019, 6875, 17899, 6115, 16675, 5267, 15811, 3355, 15107, 3171, 15107, 2547, 14883, 2123, 14651, 1955, 14395, 1955, 14323, 1427, 13803, 1027, 13691, 848, 13563, 841, 13275, 785, 13139, 654, 13075, 461, 12867, 258, 12555, 103, 12163, 103, 11875, 103, 11699, 34, 8987, 4531, 8355, 4011, 7955, 3899, 7563, 3619, 7291, 3427, 6915, 3107, 6491, 3003, 6323, 2915, 5603, 2819, 5435, 2659, 5251, 2520, 4882]","{'initial': 300, 'increment': 0, 'totalTime': 300}",C41,Philidor Defense: Hanham Variation,'chestroyer',1441,'kimura4',1391
3,True,standard,blitz,blitz,2023-05-17 23:28:00.728000+00:00,resign,black,e4 e5 Nf3 Nc6 Bc4 Nf6 d4 exd4 O-O Bc5 Re1 O-O e5 Ng4 Bg5 Qe8 Bd3 Ngxe5 Nxe5 Nxe5 Rxe5 Qxe5 Nd2,"[30003, 30003, 29827, 29795, 29715, 29379, 29539, 28603, 29331, 27411, 29211, 27211, 29115, 23507, 28699, 21723, 26483, 20715, 26107, 20715, 25299, 20075, 25186, 19776]","{'initial': 300, 'increment': 0, 'totalTime': 300}",C55,"Italian Game: Scotch Gambit, Max Lange Attack",'joservega',1465,'chestroyer',1435
4,True,standard,blitz,blitz,2023-05-17 23:14:03.641000+00:00,mate,white,e4 e5 Nf3 d6 d4 exd4 Bc4 Nf6 Qd3 Be7 c3 dxc3 Nxc3 O-O O-O a6 a4 Bg4 b4 Nc6 Rb1 Qe8 b5 Ne5 Nxe5 dxe5 Nd5 axb5 axb5 Nxd5 Bxd5 c6 bxc6 bxc6 Bc4 c5 Qg3 Bh5 Bb2 Bf6 f4 exf4 Rxf4 Bxb2 Rxb2 Bg6 h4 h6 Qxg6 Ra1+ Kh2 Qe5 Rf2 Re1 Bxf7+ Rxf7 g3 Rxf4 Rxf4 Re2+ Kh3 Qe6+ Qxe6+ Kh7 Qf5+ Kg8 Qc8+ Kh7 Rf8 Rxe4 Qf5+ g6 Qf7#,"[30003, 30003, 29915, 29883, 29755, 29611, 29355, 29291, 27235, 28691, 26691, 28291, 26691, 28115, 26523, 27707, 26331, 27531, 25755, 27179, 24107, 25139, 23803, 24971, 23451, 24875, 22331, 24219, 21587, 23403, 21099, 22883, 20579, 22779, 19755, 21587, 19355, 20987, 18795, 20379, 18387, 19075, 17123, 18627, 17123, 18451, 15547, 18283, 15387, 17915, 15035, 16899, 14451, 15931, 13307, 15563, 12243, 14483, 11627, 14059, 11147, 13963, 10947, 13763, 10523, 13587, 9931, 13363, 9699, 12987, 9563, 12279, 9564]","{'initial': 300, 'increment': 0, 'totalTime': 300}",C41,Philidor Defense: Morphy Gambit,'chestroyer',1429,'bmore1008',1425
5,True,standard,blitz,blitz,2023-05-17 03:22:15.321000+00:00,outoftime,white,e4 e5 c3 Nc6 d4 Nf6 Bd3 d5 exd5 Qxd5 Nf3 e4 Bc2 exf3 Qxf3 Be6 Qg3 O-O-O O-O Nh5 Qe3 Bd6 Bb3 Qf5 Bxe6+ Qxe6 Qf3 g6 Bg5 f6 Be3 Rdf8 Nd2 Ng7 Bh6 Qd7 Ne4 Re8 Nxf6 Rhf8 Nxd7 Rxf3 Bxg7 Rf7 Nf6 Re6 Bh8 Rf8 d5 Rexf6 Bxf6 Rxf6 dxc6 bxc6 a3 h5 b4 h4 h3 g5 c4 c5 b5 Kb7 a4 c6 Rad1 cxb5 axb5 Kb6 Rd5 Rf4 Rxg5 Be7 Rg7 Bd6 Rg6 Rd4 Rh6 Kc7 Rc1 Rxc4 Rxc4 Be5 Rh5 Bb2 Rhxc5+,"[18003, 18003, 17835, 17795, 17667, 17307, 17387, 16923, 17259, 16507, 16955, 16107, 16363, 15923, 16219, 15211, 14827, 13747, 14675, 13283, 13779, 12603, 13139, 10931, 12435, 10483, 11723, 9283, 10699, 8947, 10227, 8555, 9947, 8147, 9443, 7459, 8739, 4627, 8291, 3835, 7963, 3835, 7187, 3475, 6579, 2451, 6275, 2139, 5043, 1779, 4923, 1779, 4827, 1699, 4323, 1611, 4187, 1531, 4083, 1355, 3851, 1179, 3403, 1067, 3275, 958, 3011, 830, 2619, 725, 2435, 551, 2267, 422, 2107, 188, 2011, 181, 1835, 89, 1723, 89, 1611, 74, 1451, 74, 1304, 0]","{'initial': 180, 'increment': 0, 'totalTime': 180}",C20,King's Pawn Game: MacLeod Attack,'mr_god3',1404,'chestroyer',1435
6,True,standard,blitz,blitz,2023-05-17 01:07:07.762000+00:00,mate,white,e4 d5 exd5 Qxd5 Nc3 Qa5 Nf3 Bg4 Be2 Nf6 h3 Bxf3 Bxf3 Nc6 O-O e5 d3 Bd6 Bd2 O-O Ne4 Qb6 Nxd6 cxd6 Be3 Qxb2 a4 Nd4 Rb1 Qa3 Bxb7 Rab8 Bc1 Qxa4 c3 Nf5 Qxa4 Nd5 Bd2 Nb6 Qg4 g6 Bh6 Rfd8 Qg5 Nxh6 Qxh6 Nd7 Bd5 Nf6 Rxb8 Rxb8 Bf3 a5 Ra1 d5 Rxa5 e4 Ra6 exf3 Rxf6 fxg2 Kxg2 Rb3 Rc6 d4 Rc8#,"[18003, 18003, 17803, 17907, 17803, 17827, 17163, 17763, 16891, 17595, 16731, 17475, 16587, 17427, 16107, 17339, 15739, 16883, 15467, 16707, 15195, 16171, 14683, 16027, 14371, 15811, 13187, 15635, 13027, 14515, 12819, 14171, 12211, 13627, 11291, 12459, 10955, 11795, 9771, 11235, 9363, 11043, 8971, 10915, 8587, 10723, 8403, 10659, 7603, 10443, 7163, 10315, 6179, 10171, 5859, 9667, 5675, 9363, 5315, 9059, 5043, 8947, 4835, 8747, 4643, 7970, 4442]","{'initial': 180, 'increment': 0, 'totalTime': 180}",B01,Scandinavian Defense: Main Line,'chestroyer',1429,'samgat_kairushev',1436
7,True,standard,blitz,blitz,2023-05-16 15:03:28.530000+00:00,resign,black,e4 e5 Nf3 Nf6 Nxe5 Qe7 Nf3 Nxe4 Qe2 Nd6 Qxe7+ Bxe7 Bc4 O-O O-O Nc6 Bb3 Bf6 c3 Ne4 d4 d6 Re1 Bf5 Nbd2 Nxd2 Bxd2 Rae8 a4 Bg4 Bd5 Nd8 h3 Bh5 g4 Bg6 Bg5 Bxg5 Nxg5 c6 Ba2 d5 b4 Ne6 Re3 Nxg5 Rae1 Be4 Kh2 Nf3+ Kg3 Nxe1 Rxe1 a6 f3 Bc2 a5 Rxe1,"[30003, 30003, 29947, 29891, 29739, 29771, 28787, 29563, 28475, 27595, 28475, 27491, 27931, 27291, 27771, 27019, 27307, 26755, 26659, 26043, 26395, 25283, 26243, 24227, 25619, 23907, 25619, 23739, 24827, 22867, 23771, 21963, 23443, 21707, 23331, 21203, 22699, 20147, 22699, 19747, 22235, 19555, 21995, 18923, 21075, 18715, 20195, 18227, 19627, 16883, 19523, 16787, 19411, 16259, 18835, 16067, 18067, 15762, 17779]","{'initial': 300, 'increment': 0, 'totalTime': 300}",C42,Russian Game,'chestroyer',1435,'schwalbe_01',1429
8,True,standard,blitz,blitz,2023-05-11 01:48:06.671000+00:00,mate,white,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nge7 Bc4 Nxd4 Qxd4 Nc6 Qd5 Qf6 O-O Ne5 f4 Nxc4 e5 Qb6+ Kh1 Qc6 Qd3 Be7 b4 a6 a4 b5 axb5 axb5 Rxa8 Qxa8 Nc3 Bxb4 Nd5 Be7 Nxc7+ Kf8 Nxa8 Bb7 Nc7 g6 Qxd7 Bc5 e6 fxe6 Nxe6+ Kg8 Qg7#,"[30003, 30003, 29931, 29907, 29875, 29483, 29875, 28651, 29291, 28451, 29107, 28363, 28395, 27523, 28043, 27059, 26963, 26811, 26371, 25523, 25891, 22283, 24747, 20907, 24419, 20443, 23851, 19395, 23571, 18947, 23067, 18947, 22571, 18179, 22179, 15243, 21819, 14699, 21211, 14179, 20675, 13043, 20291, 11427, 19395, 10819, 18899, 10684, 18488]","{'initial': 300, 'increment': 0, 'totalTime': 300}",C45,Scotch Game,'lukman2016',1457,'chestroyer',1441
9,True,standard,blitz,blitz,2023-05-11 01:39:29.214000+00:00,resign,black,e4 e5 Nc3 Nc6 b3 Nf6 d3 Bb4 Bb2 Qe7 g3 d6 Bg2 Be6 Ne2 Ng4 Nc1 O-O O-O f5 Qe2 Nd4 Qd1 f4 f3 Ne3 Qe2 Ndxc2 Qxc2 Nxc2 Rb1 Ne3 Re1 Bc5 g4 Nxg4+ Kh1 Nf2+ Kg1 Nxd3+,"[30003, 30003, 29803, 29571, 29683, 29331, 29539, 28811, 29323, 27899, 28819, 27035, 28643, 26627, 28379, 25859, 27627, 25115, 27275, 24731, 26523, 24459, 25843, 23571, 25347, 23219, 24667, 21459, 24091, 21139, 23947, 20851, 23795, 20067, 23539, 18779, 23307, 18539, 23083, 18436, 22731]","{'initial': 300, 'increment': 0, 'totalTime': 300}",C25,Vienna Game: Max Lange Defense,'peon4life',1456,'chestroyer',1435
